"receipt_number","product"
15,"Передние тормозные колодки"
15,"Моторное масло"
15,"Масляный фильтр ДВС"
20,"Фильтр салона"
20,"Фильтр салона тонкой очистки"
30,"Свечи зажигания на моделях с бензиновым ДВС"
30,"Передние тормозные колодки"
30,"Задние тормозные колодки"
30,"Моторное масло"
30,"Воздушный фильтр ДВС"
30,"Масляный фильтр ДВС"
30,"Топливный фильтр тонкой очистки"
30,"Щетки стеклоочистителя"
40,"Передние тормозные колодки"
40,"Фильтр салона"
40,"Фильтр салона тонкой очистки"
45,"Моторное масло"
45,"Масляный фильтр ДВС"
50,"Передние тормозные колодки"
50,"Масло в коробке передач"
50,"Жидкость ГУР"
50,"Масляный фильтр коробки передач"
55,"Тормозная жидкость"
60,"Свечи зажигания на моделях с бензиновым ДВС"
60,"Передние тормозные колодки"
60,"Задние тормозные колодки"
60,"Моторное масло"
60,"Воздушный фильтр ДВС"
60,"Масляный фильтр ДВС"
60,"Топливный фильтр тонкой очистки"
60,"Фильтр салона"
60,"Фильтр салона тонкой очистки"
60,"Щетки стеклоочистителя"
70,"Приводной ремень"
70,"Передние тормозные колодки"
70,"Основной аккумулятор"
75,"Моторное масло"
75,"Масляный фильтр ДВС"
80,"Рычаги подвески"
80,"Передние тормозные колодки"
80,"Фильтр салона"
80,"Фильтр салона тонкой очистки"
90,"Свечи зажигания на моделях с бензиновым ДВС"
90,"Шрусы или их составные части"
90,"Передние тормозные колодки"
90,"Задние тормозные колодки"
90,"Моторное масло"
90,"Воздушный фильтр ДВС"
90,"Масляный фильтр ДВС"
90,"Топливный фильтр тонкой очистки"
90,"Щетки стеклоочистителя"
100,Свечи накаливания на моделях с дизельным ДВС"
100,"Стойки (тяги) стабилизатора"
100,"Тормозные диски"
100,"Ступичный подшипник на передней и задней паре колёс"
100,"Сальники ступицы на передней и задней паре колёс"
100,"Передние тормозные колодки"
100,"Зимний и летний комплект шин"
100,"Топливный насос"
100,"Моторное масло"
100,"Масло в коробке передач"
100,"Жидкость ГУР"
100,"Масляный фильтр ДВС"
100,"Масляный фильтр коробки передач"
100,"Фильтр салона"
100,"Фильтр салона тонкой очистки"
110,"Передние тормозные колодки"
110,"Моторное масло"
110,"Тормозная жидкость"
110,"Масляный фильтр ДВС"
120,"Свечи зажигания на моделях с бензиновым ДВС"
120,"Термостат системы охлаждения ДВС"
120,"Термостат AGR/EGR на моделях с охлаждением рециркулируем"ых ОГ
120,"Передние тормозные колодки"
120,"Задние тормозные колодки"
120,"Моторное масло"
120,"Смазка в шрусах, пыльники и хомуты"
120,"Воздушный фильтр ДВС"
120,"Масляный фильтр ДВС"
120,"Топливный фильтр тонкой очистки"
120,"Фильтр салона"
120,"Фильтр салона тонкой очистки"
120,"Щетки стеклоочистителя"
